size_bytes,user_rating,user_rating_mark
79404032,5.0,high
12734464,4.5,high
308125696,4.0,high
28471296,1.0,low
404173824,3.0,low
7432192,0.0,low
31446016,4.5,high
77717504,0.0,low
851309568,4.5,high
62823424,4.0,medium
65501184,4.5,high
2116109312,3.0,low
39276544,4.5,high
55869440,4.0,medium
64333824,4.5,high
699091968,4.0,medium
50789376,3.5,medium
1344401408,4.5,high
26890240,4.5,high
99231744,4.5,high
151495680,4.0,medium
132924416,0.0,low
54100992,4.5,high
47774720,4.0,medium
35204096,3.5,medium
154832896,4.5,high
69772288,4.5,high
15313920,4.0,medium
33304576,4.5,high
84905984,2.0,low
32918528,3.5,medium
761856,4.5,high
68952064,4.0,medium
199166976,5.0,high
38904832,0.0,low
398783488,4.5,high
127716352,1.0,low
162750464,4.5,high
12660736,2.0,low
254793728,4.5,high
237275136,4.5,high
28856320,1.0,low
39272448,1.5,low
95036416,4.5,high
6529024,4.0,medium
19434496,4.5,high
154600448,4.0,medium
100554752,4.5,high
30148608,4.5,high
83433472,3.0,low
149815296,4.5,high
18325504,0.0,low
218039296,5.0,high
15183872,0.0,low
113558528,5.0,high
5086208,3.0,low
38898688,3.0,low
45325312,0.0,low
39568384,3.5,medium
224983040,4.5,high
188902400,4.5,high
514434048,4.0,medium
187552768,0.0,low
35696640,3.5,medium
207105024,4.5,high
253294592,4.5,high
87324672,4.0,medium
160321536,4.5,high
141105152,4.5,high
98380800,4.5,high
67361792,0.0,low
2169602048,4.0,medium
180629504,4.5,high
72565760,4.5,high
128684032,4.5,high
51374080,4.0,medium
958016512,4.5,high
65756160,3.5,medium
46454784,1.0,low
478513152,4.5,high
151453696,4.5,medium
44860416,4.5,high
497758208,4.0,medium
6418432,3.5,medium
364490752,5.0,high
108594176,4.0,medium
143591424,4.5,high
51105792,4.5,high
140367872,3.5,medium
361181184,4.0,medium
52018176,4.5,high
33880064,3.5,medium
185606144,3.0,low
848715776,3.0,low
131642368,4.5,high
110595072,4.5,high
22587392,4.0,medium
121715712,4.5,high
55493632,4.5,high
74212352,4.0,medium
52408320,3.0,low
441390080,4.0,medium
28156928,2.5,low
10432512,4.5,high
910774272,4.5,high
138277888,4.0,medium
15053824,0.0,low
102755328,4.5,high
72539136,4.0,medium
141136896,4.5,high
18375680,4.0,medium
164000768,4.5,high
35998720,3.0,low
55445504,4.5,high
451740672,4.5,high
22185984,4.5,high
162557952,0.0,low
308592640,4.0,medium
19247104,4.5,high
74190848,3.5,medium
191410176,4.0,medium
22562816,4.0,medium
36184064,4.5,high
79527936,3.5,medium
59183104,4.0,medium
9922560,5.0,high
936792064,4.5,high
49349632,4.5,high
135512064,4.5,high
871531520,3.0,low
49243136,5.0,high
57072640,4.0,medium
58299392,4.5,high
15258624,4.5,high
77551616,0.0,low
9167872,4.5,high
7802880,4.5,high
66388992,4.5,high
169488384,4.5,high
2950687744,3.0,low
138456064,4.5,high
24551424,4.0,medium
27130880,4.5,high
1170735104,3.5,medium
14309376,0.0,low
168192000,4.0,medium
86029312,0.0,low
102180864,3.5,medium
52287488,0.0,low
44748800,0.0,low
81845248,4.5,high
54171648,4.5,high
51405824,0.0,low
117460992,3.0,low
25903104,2.5,low
58839040,4.5,high
163115008,5.0,high
32050176,4.0,medium
508655616,4.0,medium
86984704,4.0,medium
209787904,4.5,high
34455552,0.0,low
71529472,3.0,low
79643648,4.5,high
235259904,4.5,high
68433920,2.0,low
1824768,4.5,high
224086016,4.5,high
121370624,4.0,medium
275680256,4.0,medium
20885504,4.5,high
23057408,0.0,low
112562176,4.0,medium
120459264,5.0,high
146830336,4.0,medium
15676416,3.5,medium
10735026,4.0,medium
42460160,2.5,low
190519296,4.5,high
96586752,5.0,high
148776960,4.0,medium
33499136,2.0,low
30700544,4.5,high
99517440,4.0,medium
270223360,4.0,medium
86776832,4.5,high
371298304,3.0,low
125476864,4.5,high
458349568,4.5,high
912869376,4.5,high
285338624,4.5,high
106115072,4.0,medium
91650048,4.5,high
55441408,4.5,high
34342912,4.5,high
165360640,4.5,high
153040896,4.0,medium
141408256,4.0,medium
321376256,4.5,high
63964160,5.0,high
3115008,0.0,low
27424768,0.0,low
95245312,0.0,low
70096896,3.0,low
67259392,0.0,low
161200128,4.0,medium
117741568,4.5,high
337468416,5.0,high
4682752,2.0,low
17457152,3.5,medium
186402816,4.5,high
72770560,4.5,high
59480064,2.0,low
372767744,2.5,low
62373888,4.0,medium
77565952,3.0,low
28518400,3.5,medium
121673728,4.0,medium
264025088,4.5,high
87201792,4.0,medium
178887680,4.5,high
4303262,1.5,low
122281984,4.5,high
1044480,1.0,low
23534592,0.0,low
19860480,4.5,high
460804096,4.5,high
70149120,4.5,high
272637952,4.0,medium
191382528,4.0,medium
36992000,4.5,high
45799424,5.0,high
17436862,4.5,high
30016512,4.0,medium
82697216,3.5,medium
44402688,4.5,high
589824,4.5,high
120057856,0.0,low
100551680,4.5,high
710486016,4.0,medium
68797440,3.0,low
934126592,4.0,medium
226242560,4.0,medium
160900096,4.0,medium
112668672,4.0,medium
238636032,0.0,low
82129920,3.0,low
31147008,4.5,high
949374976,4.0,medium
18425856,0.0,low
44275712,3.5,medium
171140096,3.5,medium
212642816,4.0,medium
51366912,4.0,medium
3856588800,4.5,high
342845440,4.5,high
41485312,5.0,high
324028416,4.5,high
151109632,4.5,high
26137600,4.5,high
187652096,4.5,high
51880960,4.0,medium
43940864,0.0,low
77390848,4.5,high
106536960,4.5,high
70244352,4.5,high
43502592,3.5,medium
141868032,3.5,medium
228882432,4.0,medium
332871680,2.5,low
5851136,4.5,high
85424128,4.0,medium
268592128,5.0,high
69079040,4.0,medium
132711424,4.0,medium
60976128,3.5,medium
82898944,3.5,medium
293660672,4.5,high
6398976,4.5,high
485908480,2.5,low
325997568,0.0,low
106917888,4.5,high
174268416,4.0,medium
14366720,0.0,low
63974400,4.0,medium
35807232,4.5,high
395749376,4.0,medium
68153344,4.5,high
166803456,4.5,high
390078464,0.0,low
55676928,4.0,medium
147377152,4.0,medium
106427392,4.5,high
1178562560,4.5,high
75766784,4.5,high
666117120,4.5,high
161695744,4.5,high
107710464,3.5,medium
138093568,4.0,medium
16292864,2.5,low
91060224,3.0,low
98942976,2.0,low
63283200,4.5,high
83994624,4.0,medium
446949376,4.0,medium
49645568,0.0,low
56849408,4.5,high
2318708736,3.5,medium
30650368,4.5,high
113509376,5.0,high
33743872,4.5,high
208309248,3.0,low
41596928,3.0,low
37760000,4.0,medium
85362688,4.0,medium
157679616,4.0,medium
403332096,0.0,low
132968448,4.5,high
241339392,0.0,low
111938560,4.5,high
54776832,4.0,medium
115707904,4.0,medium
56923703,4.0,medium
80323584,0.0,low
42312704,0.0,low
87481344,4.0,medium
232399872,4.5,high
24354816,4.5,high
2158592,2.5,low
47585280,4.5,high
726392832,4.0,medium
148507648,4.0,medium
184324096,0.0,low
89677824,5.0,high
136354816,4.5,high
35182592,2.5,low
112036864,4.5,high
11083776,3.5,medium
136184832,4.0,medium
16487424,0.0,low
44208128,0.0,low
222483456,4.0,medium
142196736,4.5,high
106643456,0.0,low
82789376,0.0,low
74435584,5.0,high
138738688,4.0,medium
172691456,4.5,high
175606784,4.5,high
91105280,4.5,high
226961408,4.5,high
685733888,4.5,high
218329088,4.0,medium
413392896,3.0,low
48819200,5.0,high
96872448,4.5,high
21010210,4.0,medium
408755200,2.5,low
83575808,3.0,low
30601216,3.5,medium
